Name                                                           ,Phone           ,Website                                                                                                                                                                                    ,Google Stars ,Google Reviews ,TripAdvisor Stars ,TripAdvisor Reviews ,Wanderlog Ranking ,Wanderlog List                                                   ,About                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Link
Southern Cross Cruises                                         ,+27 73 257 2319 ,http://www.southerncrosscruises.co.za/                                                                                                                                                     ,         4.5 ,           159 ,              4.5 ,                159 ,#39 on            ,"#39 on""Top 50 things to do and attractions in East London"""   ,"AboutSouthern Cross Cruises is the first tour operator in East London to have a boat-based permit for whale and dolphin watching. Guests have enjoyed comfortable and smooth trips with friendly and knowledgeable skippers, observing bottlenose dolphins and learning about ocean life. Safety measures are diligently followed, ensuring a secure experience. Visitors also appreciate the opportunity to enjoy a seafood mix platter while watching the beautiful sunset."                                                                                                                 ,https://wanderlog.com/place/details/10525554/southern-cross-cruises
Marlene Neumann Exclusive Fine Art Photography                 ,+27 83 321 3391 ,http://www.marleneneumann.com/                                                                                                                                                             ,         4.7 ,            33 ,              5.0 ,                 11 ,N/A               ,N/A                                                              ,Why you should go1Explore a tranquil and serene gallery hidden in suburbia2Admire beautiful artworks by talented photographer Marlene Neumann3Experience the stunning garden surrounding the gallery                                                                                                                                                                                                                                                                                                                                                                                            ,https://wanderlog.com/place/details/16898/marlene-neumann-exclusive-fine-art-photography
The Kitchen Table East London                                  ,+27 64 313 7441 ,https://www.facebook.com/thekitchentableel                                                                                                                                                 ,         4.6 ,           139 ,              4.6 ,                139 ,#26 on            ,"#26 on""The 50 best spots for lunch in East London"""           ,"AboutThe Kitchen Table East London is a popular dining spot with a variety of reviews. While Pinky Kitchen leads in ratings, it has fewer reviews compared to Jade Garden Fusion Restaurant, which has a slightly lower rating but more reviews. Visitors have enjoyed spectacular 4-course meals at The Kitchen Table East London, praising the flavors and pairings of each dish. Some have experienced excellent breakfasts despite minor issues like overcooked bacon, attributing it to possible kitchen staff changes."                                                                  ,https://wanderlog.com/place/details/9989202/the-kitchen-table-east-london
Wykato Spur                                                    ,+27 43 748 2011 ,https://www.spursteakranches.com/za/restaurant/wykato-spur?utm_source=google_maps&utm_medium=website_button&utm_campaign=SP&utm_content=SP                                                 ,         4.1 ,          1421 ,              3.0 ,                 37 ,N/A               ,N/A                                                              ,"AboutWykato Spur Steak Ranch is a family-friendly restaurant chain known for its delicious steaks, burgers, ribs, and wings. The establishment has received praise for its excellent breakfast options and attentive service. Guests have enjoyed the lively atmosphere at Wykato Spur Steak Ranch, often featuring singing and birthday celebrations. The restaurant is popular among families due to its fun environment for kids and friendly staff."                                                                                                                                       ,https://wanderlog.com/place/details/2903008/wykato-spur
Nando's Oxford Street (East London)                            ,+27 43 722 7801 ,https://store.nandos.co.za/details/oxford-street-(east-london)                                                                                                                             ,         4.1 ,          1608 ,              4.0 ,                 27 ,N/A               ,N/A                                                              ,"AboutNando's Oxford Street in East London is a popular Afro-Portuguese chain eatery that specializes in flame-grilled chicken smothered in zesty chili sauce. Patrons rave about their delectable chicken burgers adorned with delightful pineapple extras, complemented perfectly by the spicy chips on the side. First-time visitors are often impressed by the succulent and mouthwatering full chickens available for purchase."                                                                                                                                                           ,https://wanderlog.com/place/details/2801890/nandos-oxford-street-east-london
Las Vegas Spur                                                 ,+27 43 726 1133 ,https://www.spursteakranches.com/za/restaurant/las-vegas-spur?utm_source=google_maps&utm_medium=website_button&utm_campaign=SP&utm_content=SP                                              ,         4.1 ,          1133 ,              3.0 ,                 25 ,N/A               ,N/A                                                              ,"AboutLas Vegas Spur Steak Ranch is a family-friendly restaurant that offers steak, burgers, ribs and wings. The restaurant has a modern feel with attentive staff and reservations are accepted. There is a full bar as well as wine and beer. The restaurant also accepts American Express and Mastercard. Free wifi is available."                                                                                                                                                                                                                                                           ,https://wanderlog.com/place/details/2903207/las-vegas-spur
2 Brothers Pizza - Cambridge                                   ,+27 43 727 1369 ,http://www.2brotherspizza.co.za/                                                                                                                                                           ,         4.3 ,           582 ,              4.5 ,                  9 ,N/A               ,N/A                                                              ,Why you should go1Delicious pizzas with generous toppings2Fast and friendly service3Relaxed atmosphere                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,https://wanderlog.com/place/details/3001066/2-brothers-pizza-cambridge
KFC Abbotsford                                                 ,+27 860 100 222 ,http://www.kfc.co.za/                                                                                                                                                                      ,         2.6 ,            15 ,              2.6 ,                 15 ,N/A               ,N/A                                                              ,Why you should go1Enjoy beautiful mountain views from the double-story layout2Experience friendly and helpful customer service3Opportunity to dine in an upstairs area with working air conditioning                                                                                                                                                                                                                                                                                                                                                                                            ,https://wanderlog.com/place/details/10717220/kfc-abbotsford
McDonald's East London Vincent Drive-Thru                      ,+27 43 727 0778 ,http://www.mcdonalds.co.za/                                                                                                                                                                ,         3.7 ,          1813 ,              1.0 ,                  2 ,#5 on             ,"#5 on""The 8 best fast food restaurants in East London"""       ,"AboutAt the McDonald's East London Vincent Drive-Thru, you can expect a classic fast-food experience that has stood the test of time. Known for its delicious burgers and crispy fries, this location is popular among locals. While the drive-thru line can be lengthy, patrons often find it worth the wait due to the friendly service provided by staff at every window. Customers have shared positive experiences with order accuracy and helpfulness from team members, ensuring a pleasant visit even when mistakes occur."                                                            ,https://wanderlog.com/place/details/3192671/mcdonalds-east-london-vincent-drive-thru
Steers                                                         ,+27 43 743 7578 ,https://location.steers.co.za/oxford-street?y_source=1_MTI0MzA0NTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D                                                                                          ,         4.1 ,          2094 ,              4.1 ,               2094 ,#6 on             ,"#6 on""The 8 best fast food restaurants in East London"""       ,"AboutSteers is a beloved fast-food chain that has captured the hearts of many in East London with its signature flame-grilled beef burgers and thick, handmade chips. This popular spot also offers a variety of chicken dishes and mouthwatering ribs, making it a go-to for meat lovers. And don’t forget to indulge in their delightful ice cream for dessert!"                                                                                                                                                                                                                             ,https://wanderlog.com/place/details/3519838/steers
Roman's Pizza Gonubie                                          ,+27 43 732 1014 ,https://www.romanspizza.co.za/?utm_medium=gmb%20listings&utm_source=business.google.com&utm_campaign=Roman's%20Pizza%20Gonubie&utm_content=Website%20Button                                ,         4.2 ,           433 ,              4.2 ,                433 ,#8 on             ,"#8 on""The 8 best fast food restaurants in East London"""       ,"AboutRoman's Pizza Gonubie is a delightful pizza destination that specializes in crafting both traditional and unique pies, all made to order with the freshest ingredients. While they don't offer delivery, you can conveniently call ahead and pick up your meal within about 20 minutes. Many visitors appreciate the friendly atmosphere reminiscent of family gatherings, making it a great spot to unwind after a long day. Although some have experienced longer wait times or minor issues with toppings, overall feedback highlights significant improvements in quality over time." ,https://wanderlog.com/place/details/7646401/romans-pizza-gonubie
Debonairs Pizza                                                ,+27 43 736 1443 ,https://location.debonairspizza.co.za/east-london-greenfields?y_source=1_MTI0NTA3MjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D                                                                        ,         3.4 ,           136 ,              3.4 ,                136 ,#4 on             ,"#4 on""The 8 best fast food restaurants in East London"""       ,"AboutDebonairs Pizza is a modern fast-food chain that has carved out its niche as Africa's premier pizza destination since its inception in 1991 by two enterprising university students. With locations in Beacon, Vincent Park, CBD, Hemingways Mall, Beach Front, and Southernwood, it offers an array of classic and specialty pizzas paired with refreshing soft drinks. Customers rave about the speedy delivery service—often pleasantly surprised by how quickly their hot pizzas arrive at their doorstep."                                                                           ,https://wanderlog.com/place/details/3192662/debonairs-pizza
Fishaways                                                      ,+27 43 722 1039 ,https://location.fishaways.co.za/beachfront?y_source=1_MTI0NDA2NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D                                                                                          ,         4.3 ,            83 ,              4.3 ,                 83 ,#7 on             ,"#7 on""The 8 best fast food restaurants in East London"""       ,"AboutIf you're on the hunt for a delightful seafood experience, look no further than Fishaways! This modern counter-serve café and takeaway chain specializes in battered seafood, fish burgers, and curry pots. With locations in Southernwood and Gonubie, it's becoming a favorite among locals and visitors alike. Diners rave about the delicious Hake Spicy Pot paired with rice, all enjoyed in a friendly seaside atmosphere."                                                                                                                                                         ,https://wanderlog.com/place/details/3519904/fishaways
Nando's Vincent Park                                           ,+27 43 726 7738 ,https://store.nandos.co.za/details/vincent-park                                                                                                                                            ,         4.1 ,          1475 ,              3.5 ,                  9 ,N/A               ,N/A                                                              ,"AboutNando's Vincent Park is a vibrant Afro-Portuguese eatery renowned for its mouthwatering flame-grilled chicken, generously coated in their signature spicy chili sauce. Diners rave about the delectable flavors that keep them coming back for more. However, it's worth noting that the preparation time can be a bit lengthy, so patience may be required while you await your delicious meal. Overall, Nando's Vincent Park promises an exciting culinary experience with its unique offerings!"                                                                                       ,https://wanderlog.com/place/details/3192682/nandos-vincent-park
Nando's Amalinda Drive Thru                                    ,+27 43 741 4122 ,https://store.nandos.co.za/details/amalinda                                                                                                                                                ,         4.0 ,           931 ,              4.5 ,                  5 ,N/A               ,N/A                                                              ,"AboutNando's is a popular international grill restaurant chain that has locations all over the world. The Amalinda Drive Thru in South Africa offers a twist on the Afro-Portuguese cuisine with an upscale and comfortable dining experience. The friendly staff are quick to serve up excellent take away food, especially their Hot Pot."                                                                                                                                                                                                                                                   ,https://wanderlog.com/place/details/2903022/nandos-amalinda-drive-thru
Wimpy                                                          ,+27 43 721 0647 ,https://location.wimpy.co.za/hemingways-mall?y_source=1_MTIzNjA1ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D                                                                                         ,         4.4 ,           749 ,              4.0 ,                  5 ,N/A               ,N/A                                                              ,"AboutWimpy, a well-established chain, offers a laid-back dining experience with an array of offerings such as burgers, mixed grills, and comforting dishes. The ambiance is warm and inviting, creating a relaxed atmosphere for families to enjoy their meals. The staff members are both amiable and proficient in their service, ensuring customers feel welcome and satisfied throughout their visit. Notably, the manager actively engages with patrons by personally checking in on their dining experiences."                                                                           ,https://wanderlog.com/place/details/2903073/wimpy
McDonald's Beacon Bay Drive-Thru                               ,+27 43 748 4761 ,http://www.mcdonalds.co.za/                                                                                                                                                                ,         3.5 ,          1696 ,              1.0 ,                  4 ,N/A               ,N/A                                                              ,"AboutMcDonald's Beacon Bay Drive-Thru is an iconic, well-established fast-food franchise celebrated for its delectable hamburgers and crispy fries. This timeless, enduring eatery has garnered a reputation for offering a wide selection of savory patties sandwiched between fluffy buns, accompanied by perfectly golden and salted potato sticks. With an extensive history in the industry, this renowned chain has become synonymous with quick-service dining and is beloved by millions around the globe."                                                                            ,https://wanderlog.com/place/details/3192636/mcdonalds-beacon-bay-drive-thru
Roman's Pizza Cambridge East London                            ,+27 43 050 4225 ,https://www.romanspizza.co.za/                                                                                                                                                             ,         4.0 ,           403 ,              3.0 ,                  2 ,N/A               ,N/A                                                              ,Why you should go1Enjoy flavorful pizzas like sweet chilli chicken with fetta2Great customer service according to many reviewers3Budget-friendly specials available                                                                                                                                                                                                                                                                                                                                                                                                                             ,https://wanderlog.com/place/details/9867480/romans-pizza-cambridge-east-london
McDonald's Amalinda Drive-Thru                                 ,+27 43 741 2713 ,http://www.mcdonalds.co.za/                                                                                                                                                                ,         4.2 ,          1006 ,              5.0 ,                  1 ,N/A               ,N/A                                                              ,"AboutMcDonald's Amalinda Drive-Thru is a well-established fast-food restaurant famous for its burgers and fries. Visitors often appreciate the friendly staff and efficient service, especially during breakfast hours. The establishment maintains a clean and sanitized environment, with sanitizing bottles available on every table. Customers also praise the popular menu items such as nuggets with BBQ sauce and chili fries, while noting the amiable demeanor of the staff members."                                                                                                 ,https://wanderlog.com/place/details/3192665/mcdonalds-amalinda-drive-thru
Burger King Kariega - Corkwood Mall (Drive-Thru)               ,+27 21 417 5910 ,http://www.burgerking.co.za/                                                                                                                                                               ,         4.0 ,           452 ,              4.0 ,                452 ,N/A               ,N/A                                                              ,Why you should go1Enjoy divine food with great taste2Experience fast and friendly service3Consistent quality across Burger King branches                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,https://wanderlog.com/place/details/7628200/burger-king-kariega-corkwood-mall-drive-thru
Hungry Lion Gillwell Mall                                      ,+27 47 722 0530 ,https://www.hungrylion.co.za/                                                                                                                                                              ,         3.5 ,            24 ,              3.5 ,                 24 ,N/A               ,N/A                                                              ,Why you should go1Try their delicious chicken2Experience their efficient handling of load shedding with a generator backup3Enjoy a variety of options available on the menu                                                                                                                                                                                                                                                                                                                                                                                                                     ,https://wanderlog.com/place/details/7823029/hungry-lion-gillwell-mall
Zebro's                                                        ,+27 87 654 9214 ,https://www.zebros.co.za/                                                                                                                                                                  ,         4.1 ,             7 ,              4.1 ,                  7 ,N/A               ,N/A                                                              ,"AboutZebro's is a fantastic place to visit, especially for their Chesa Weekend special. Although there is one suggestion to consider, which is to grill the beef just as well as they grill the chicken. Apart from that, the food at Zebro's is delicious and their sauces are truly remarkable. The restaurant offers a cozy atmosphere with quick service and outstanding quality dishes."                                                                                                                                                                                                  ,https://wanderlog.com/place/details/3192667/zebros
Zebro's                                                        ,+27 43 721 0834 ,https://www.zebros.co.za/                                                                                                                                                                  ,         1.8 ,             5 ,              1.8 ,                  5 ,N/A               ,N/A                                                              ,"AboutZebro's, a renowned chicken eatery, consistently delivers delectable cuisine that never fails to impress. The wish is for Zebro's to broaden its reach and establish a presence in KZN Ladysmith due to relocation."                                                                                                                                                                                                                                                                                                                                                                      ,https://wanderlog.com/place/details/3192771/zebros
Hungry Lion East London Fleet Street                           ,+27 87 288 9421 ,http://www.hungrylion.co.za/?utm_source=google_maps&utm_medium=website_link&utm_campaign=SP&utm_content=SP                                                                                 ,         4.8 ,             4 ,              4.8 ,                  4 ,N/A               ,N/A                                                              ,"Highlighted reviewsSlide 1 of 2It's very clean,the staff also is very friendly and patient.They seem very motivated,were cleaning the windows while it was slow inside as it is a SundayI enjoyed well cooked meet, and my order did not take long to be ready.It's very clean,the staff also is very friendly and patient.They seem very motivated,were cleaning the windows while it was slow inside as it is a SundayI enjoyed well cooked meet, and my order did not take long to be ready.See all reviews"                                                                                ,https://wanderlog.com/place/details/10717222/hungry-lion-east-london-fleet-street
